id,canonical_name,category,subtype,key_attributes_schema,default_iq,default_oq,default_pq,default_calibration_months,default_maintenance_months,default_requalification_months,risk_level,regulatory_references,search_aliases,locale_overrides,notes
,Tissue Dehydration System,HCT/P Processing,Automated Solvent/Temp,"{""vacuum_level"":{""type"":""number"",""units"":""mbar""},""heating_temp"":{""type"":""number"",""units"":""C""},""solvent_conc"":{""type"":""number"",""units"":""%""}}",TRUE,TRUE,TRUE,12,6,12,High,21 CFR 1271.200;ISO 13485,tissue processor;HCTP dryer;bone dehydrator,{},PQ verifies residual moisture and tissue integrity. 
,Cryogenic Vial Filling Line,Production: Packaging,Aseptic Biologics Filler,"{""fill_accuracy"":{""type"":""number"",""units"":""%""},""vial_size"":{""type"":""range"",""units"":""mL""},""capping_torque"":{""type"":""number"",""units"":""N-cm""}}",TRUE,TRUE,TRUE,6,6,12,High,ISO 13408-1;21 CFR 1271,bio-filler;cryo filler;HCTP filling,{},PQ includes media fills to verify aseptic capability. 
,Automated Pipetting System,IVD Laboratory,Robotic Liquid Handler,"{""vol_accuracy"":{""type"":""number"",""units"":""%""},""cv_reproducibility"":{""type"":""number"",""units"":""%""},""deck_positions"":{""type"":""integer""}}",TRUE,TRUE,TRUE,6,6,12,High,USP <1058>;21 CFR Part 11,liquid handler;Hamilton;Tecan;pipettor,{},PQ uses gravimetric or photometric verification of volumes. 
,Microplate Washer,IVD Laboratory,96/384-Well Automated,"{""residual_vol"":{""type"":""number"",""units"":""uL""},""aspirate_press"":{""type"":""number"",""units"":""bar""},""manifold_type"":{""type"":""string""}}",TRUE,TRUE,TRUE,12,12,,Medium,USP <1058>;FDA QMSR,plate washer;ELISA washer;BioTek,{},OQ verifies aspiration efficiency to prevent cross-talk. 
,UV-C Surface Sterilizer,Environment & Safety,Mobile Decon/Robotic,"{""uv_intensity"":{""type"":""number"",""units"":""uW/cm2""},""exposure_time"":{""type"":""number"",""units"":""sec""},""safety_interlock"":{""type"":""boolean""}}",TRUE,TRUE,TRUE,12,6,12,High,ISO 14937;FDA QMSR,UV bot;UV-C light;room sterilizer,{},PQ uses biological indicators (BIs) to verify log reduction. 
,Contact Angle Goniometer,Metrology,Surface Hydrophilicity Tester,"{""angle_range"":{""type"":""range"",""units"":""deg""},""droplet_vol"":{""type"":""number"",""units"":""uL""},""resolution"":{""type"":""number"",""units"":""deg""}}",TRUE,TRUE,FALSE,12,12,,Medium,ISO 17025;FDA QMSR,contact angle meter;surface energy tester,{},Essential for validating hydrophilic/plasma coatings.
,Catheter Lubricity Tester,Metrology,Pinch-Test Friction Meter,"{""clamp_force"":{""type"":""number"",""units"":""N""},""pull_speed"":{""type"":""number"",""units"":""mm/s""},""force_res"":{""type"":""number"",""units"":""mN""}}",TRUE,TRUE,TRUE,12,12,,Medium,ISO 13485;ASTM F2397,pinch tester;friction tester;catheter track,{},"PQ verifies ""Mean Friction"" reduction against specifications."
,Burst Pressure Tester,Metrology,Hydraulic Balloon Tester,"{""max_pressure"":{""type"":""number"",""units"":""psi""},""fluid_temp"":{""type"":""number"",""units"":""C""},""ramp_rate"":{""type"":""number"",""units"":""psi/s""}}",TRUE,TRUE,TRUE,6,12,,High,ISO 10555-1;FDA QMSR,balloon burster;pressure tester;RBP tester,{},Used to determine Rated Burst Pressure (RBP) for catheters.
,Torsional Yield Tester,Metrology,Bone Screw Torque Station,"{""torque_cap"":{""type"":""number"",""units"":""N-m""},""angular_res"":{""type"":""number"",""units"":""deg""},""axial_load"":{""type"":""number"",""units"":""N""}}",TRUE,TRUE,FALSE,12,12,,Medium,ASTM F543;ISO 17025,screw tester;torque yield;ortho tester,{},Critical for validating mechanical strength of orthopedic screws.
,Laser Micrometer,Metrology,Dual-Axis Dimensional Scan,"{""od_range"":{""type"":""range"",""units"":""mm""},""linearity"":{""type"":""number"",""units"":""um""},""scan_rate"":{""type"":""number"",""units"":""Hz""}}",TRUE,TRUE,FALSE,12,12,,Medium,ISO 17025;FDA QMSR,OD gauge;laser mic;Zumbach;Keyence,{},Used for in-line extrusion or final catheter OD verification.
,Vision Inspection System,Metrology,High-Speed Batch Inspector,"{""camera_res"":{""type"":""number"",""units"":""MP""},""frame_rate"":{""type"":""number"",""units"":""fps""},""lighting_type"":{""type"":""string""}}",TRUE,TRUE,TRUE,12,12,12,High,ISO 13485;21 CFR 820.70;21 CFR Part 11,vision bot;Cognex;Keyence;optical inspector,{},"OQ requires ""Red/Green"" (Accept/Reject) challenge testing. "
,Scanning Electron Microscope (SEM),Metrology,Surface Morphology SEM,"{""magnification"":{""type"":""range"",""units"":""x""},""resolution"":{""type"":""number"",""units"":""nm""},""eds_integrated"":{""type"":""boolean""}}",TRUE,TRUE,FALSE,12,6,,Medium,ISO 13485;FDA QMSR,SEM;electron scope;surface analyzer,{},Used for analyzing implant surface finish and failure modes.
,FTIR Spectrometer,Analytical Lab,Universal ATR FTIR,"{""spectral_range"":{""type"":""range"",""units"":""cm-1""},""resolution"":{""type"":""number"",""units"":""cm-1""},""library_search"":{""type"":""boolean""}}",TRUE,TRUE,FALSE,12,12,,Medium,USP <854>;USP <1058>;ISO 13485,FTIR;material ID;infrared scope,{},USP <1058> Group C. Critical for raw material identification.
,GC/MS System,Analytical Lab,Triple Quadrupole GC/MS,"{""mass_range"":{""type"":""range"",""units"":""m/z""},""autosampler_cap"":{""type"":""integer""},""carrier_gas"":{""type"":""string""}}",TRUE,TRUE,TRUE,12,6,12,High,USP <1058>;21 CFR Part 11;ISO 10993-18,GCMS;residual analyzer;EO residual tester,{},Used for ethylene oxide (EO) residual and extractable testing.
,Jacketed Mixing Tank,Reagent Mfg,Reagent Buffer Prep,"{""volume"":{""type"":""number"",""units"":""L""},""temp_range"":{""type"":""range"",""units"":""C""},""agitation_speed"":{""type"":""number"",""units"":""RPM""}}",TRUE,TRUE,TRUE,12,12,12,Medium,21 CFR 820.75;ASME BPVC,buffer tank;mixing vessel;stainless tank,{},OQ verifies temperature control stability and mixing uniformity. 
,High-Shear Mixer,Reagent Mfg,Emulsion Homogenizer,"{""rotor_speed"":{""type"":""number"",""units"":""RPM""},""shear_rate"":{""type"":""number"",""units"":""s-1""},""sterile_design"":{""type"":""boolean""}}",TRUE,TRUE,TRUE,6,6,12,Medium,21 CFR 820.75;FDA QMSR,homogenizer;Silverson;reagent mixer,{},PQ verifies particle size distribution consistency across batches. 
,Rocking Bioreactor,HCT/P Processing,Wave-Motion Single-Use,"{""rock_angle"":{""type"":""number"",""units"":""deg""},""rock_rate"":{""type"":""number"",""units"":""rpm""},""do2_control"":{""type"":""boolean""}}",TRUE,TRUE,TRUE,6,6,12,High,21 CFR 1271;FDA QMSR,wave bioreactor;cell culture bag;HCTP culture,{},Used for expanding human cells. PQ focuses on cell viability. 
,Fluorescence Cell Sorter,HCT/P Processing,Multi-Laser FACS,"{""lasers"":{""type"":""integer""},""sort_purity"":{""type"":""number"",""units"":""%""},""nozzle_size"":{""type"":""number"",""units"":""um""}}",TRUE,TRUE,TRUE,12,6,12,High,21 CFR 1271;USP <1058>,FACS;cell sorter;BD Melody,{},OQ verifies laser alignment and sorting accuracy.
,Collaborative Robot (Cobot),Assembly,6-Axis Cleanroom Cobot,"{""payload"":{""type"":""number"",""units"":""kg""},""reach"":{""type"":""number"",""units"":""mm""},""force_limiting"":{""type"":""boolean""}}",TRUE,TRUE,TRUE,12,6,24,Medium,ISO 10218;IEC 60601;FDA QMSR,UR5;Cobot;human-robot assembly,{},OQ focuses on force-stop safety limits and E-stop logic. 
,Modular Conveyor System,Assembly,Precision Pallet Transfer,"{""belt_speed"":{""type"":""number"",""units"":""m/min""},""index_precision"":{""type"":""number"",""units"":""mm""},""cleanroom_class"":{""type"":""integer""}}",TRUE,TRUE,FALSE,12,12,,Low,ISO 14644;FDA QMSR,conveyor;pallet line;flex link,{},IQ verifies cleanroom material compatibility (no outgassing). 
,Particle Monitoring System,Facilities,Continuous Cleanroom Air,"{""sensitivity"":{""type"":""number"",""units"":""um""},""sample_freq"":{""type"":""number"",""units"":""sec""},""alarm_logic"":{""type"":""string""}}",TRUE,TRUE,FALSE,12,12,12,High,ISO 14644-2;FDA QMSR,FMS;particle counter;cleanroom monitor,{},Continuous monitoring for aseptic areas. OQ verifies alarm delays.
,Ducted Fume Hood,Facilities,Chemical Exhaust Station,"{""face_velocity"":{""type"":""number"",""units"":""fpm""},""sash_interlock"":{""type"":""boolean""},""low_flow_alarm"":{""type"":""boolean""}}",TRUE,TRUE,FALSE,12,12,,Medium,ANSI/ASHRAE 110;ISO 14644,chemical hood;lab exhaust;fume station,{},OQ involves smoke testing and face velocity mapping.
,Nitrogen Generator,Utilities,High-Purity PSA,"{""output_flow"":{""type"":""number"",""units"":""SCFH""},""purity_level"":{""type"":""number"",""units"":""%""},""dew_point"":{""type"":""number"",""units"":""C""}}",TRUE,TRUE,TRUE,12,6,12,Medium,ISO 8573-1;FDA QMSR,N2 gen;nitrogen maker;process gas,{},PQ verifies gas purity over a 24-hour peak demand period. 
,Total Organic Carbon (TOC),Utilities,In-Line Water TOC Analyzer,"{""lod"":{""type"":""number"",""units"":""ppb""},""response_time"":{""type"":""number"",""units"":""sec""},""oxidizer_type"":{""type"":""string""}}",TRUE,TRUE,TRUE,6,12,12,High,USP <643>;USP <1231>,TOC meter;water quality tester;Sievers,{},Critical for WFI system monitoring. Calibrated with NIST standards. 
,Vacuum Drying Oven,Production,Moisture Removal Unit,"{""vacuum_level"":{""type"":""number"",""units"":""mbar""},""temp_uniformity"":{""type"":""number"",""units"":""C""},""shelf_count"":{""type"":""integer""}}",TRUE,TRUE,TRUE,12,12,12,Medium,21 CFR 820.75;ISO 13485,vacuum drier;parts oven;de-moisturizer,{},Used for removing residuals from multi-lumen catheters.
,Automated Vial Washer,Cleaning,Rotary Reagent Bottle Washer,"{""washes_per_hour"":{""type"":""integer""},""rinse_cycles"":{""type"":""integer""},""wfi_final_rinse"":{""type"":""boolean""}}",TRUE,TRUE,TRUE,12,6,12,Medium,ISO 15883;AAMI ST98,bottle washer;vial cleaner;glass washer,{},PQ requires riboflavin (UV dye) coverage/cleaning validation. 
,LAL Kinetic Reader,Metrology,Endotoxin Plate Reader,"{""wavelength"":{""type"":""number"",""units"":""nm""},""cv_precision"":{""type"":""number"",""units"":""%""},""software_v"":{""type"":""string""}}",TRUE,TRUE,TRUE,12,12,,High,USP <85>;ISO 13485,endotoxin reader;pyrogen tester;LAL station,{},Critical for safety release of implantables and HCT/Ps.
,Vickers Hardness Tester,Metrology,Automated Micro-Hardness,"{""load_range"":{""type"":""range"",""units"":""gf""},""dwell_time"":{""type"":""number"",""units"":""sec""},""accuracy"":{""type"":""number"",""units"":""%""}}",TRUE,TRUE,FALSE,12,12,,Medium,ASTM E384;ISO 13485,microhardness;metal tester;implant hardness,{},Calibration uses certified hardness blocks (NIST traceable).
,Joint Wear Simulator,Metrology,Hip/Knee Durability Station,"{""axial_load"":{""type"":""number"",""units"":""N""},""cycle_count"":{""type"":""integer""},""stations"":{""type"":""integer""}}",TRUE,TRUE,TRUE,12,6,24,High,ISO 14242;ASTM F1717,wear tester;hip simulator;joint machine,{},PQ verifies long-term durability (>5 million cycles) of implants. 
,In-Line Conductivity Meter,Utilities,Sanitary Water Meter,"{""cell_constant"":{""type"":""number""},""temp_comp"":{""type"":""boolean""},""accuracy"":{""type"":""number"",""units"":""uS/cm""}}",TRUE,TRUE,TRUE,6,12,12,High,USP <645>;USP <1231>,water cond;DI monitor;pure water meter,{},Essential for PW/WFI loop monitoring. USP <645> Stage 1. 
,Heat Staking Machine,Production: Assembly,Thermal Press Station,"{""forming_temp"":{""type"":""number"",""units"":""C""},""forming_force"":{""type"":""number"",""units"":""N""},""dwell_time"":{""type"":""number"",""units"":""sec""}}",TRUE,TRUE,TRUE,12,12,12,High,FDA QMSR;ISO 13485,hot staking;plastic welder;thermal joiner,{},PQ verifies joint pull-strength and material embrittlement.
,Plastic Resin Dryer,Production: Auxiliaries,Desiccant Hopper Dryer,"{""dew_point"":{""type"":""number"",""units"":""C""},""drying_temp"":{""type"":""number"",""units"":""C""},""airflow"":{""type"":""number"",""units"":""CFM""}}",TRUE,TRUE,TRUE,12,6,24,Medium,21 CFR 820.70;ISO 13485,hopper dryer;resin dryer;material prep,{},"Critical for moisture-sensitive resins (e.g., PEEK, Nylon). "
,Mold Temp Controller,Production: Auxiliaries,Water/Oil Thermolator,"{""max_temp"":{""type"":""number"",""units"":""C""},""flow_rate"":{""type"":""number"",""units"":""GPM""},""heater_cap"":{""type"":""number"",""units"":""kW""}}",TRUE,TRUE,FALSE,12,12,,Medium,21 CFR 820.70;ISO 13485,thermolator;mold heater;chiller unit,{},OQ verifies temperature stability at the mold inlet/outlet. 
,Hot Runner Controller,Production: Auxiliaries,Multi-Zone Electrical,"{""zones"":{""type"":""integer""},""power_output"":{""type"":""number"",""units"":""W""},""alarm_logic"":{""type"":""string""}}",TRUE,TRUE,FALSE,12,12,,Medium,21 CFR 820.70;ISO 13485,manifold controller;mold runner;temp control,{},OQ verifies individual zone response and thermocouple accuracy. 
,ICP-MS Analyzer,Analytical Lab,Elemental Impurity System,"{""mass_range"":{""type"":""range"",""units"":""m/z""},""nebulizer_type"":{""type"":""string""},""lod"":{""type"":""number"",""units"":""ppt""}}",TRUE,TRUE,TRUE,12,6,12,High,USP <232>;USP <233>;ISO 10993-18,heavy metal tester;plasma mass spec;elemental analyzer,{},Used for safety release (leachable metals) of implants.
,Laser Marker (Fiber),Production: Labeling,Fiber Laser UDI System,"{""wavelength"":{""type"":""number"",""units"":""nm""},""pulse_freq"":{""type"":""number"",""units"":""kHz""},""marking_speed"":{""type"":""number"",""units"":""mm/s""}}",TRUE,TRUE,TRUE,12,12,,Medium,21 CFR 830;21 CFR Part 11,UDI marker;fiber laser;metal engraver,{},PQ verifies barcode grade (ISO/IEC 15415) on actual substrate.
,Laser Marker (CO2),Production: Labeling,CO2 Non-Metal System,"{""laser_power"":{""type"":""number"",""units"":""W""},""spot_size"":{""type"":""number"",""units"":""um""},""focal_length"":{""type"":""number"",""units"":""mm""}}",TRUE,TRUE,TRUE,12,12,,Medium,21 CFR 830;21 CFR Part 11,polymer marker;CO2 engraver;label laser,{},Used for marking catheter shafts or plastic housings.
,DSC Analyzer,Analytical Lab,Differential Scanning Calorimeter,"{""temp_range"":{""type"":""range"",""units"":""C""},""heating_rate"":{""type"":""number"",""units"":""C/min""},""atmosphere"":{""type"":""string""}}",TRUE,TRUE,FALSE,12,12,,Medium,USP <1058>;ISO 11357,thermal analyzer;melt point;polymer ID,{},Critical for verifying resin crystallinity and glass transition. 
,TGA Analyzer,Analytical Lab,Thermogravimetric Analyzer,"{""balance_res"":{""type"":""number"",""units"":""ug""},""temp_max"":{""type"":""number"",""units"":""C""},""sample_pan"":{""type"":""string""}}",TRUE,TRUE,FALSE,12,12,,Medium,USP <1058>;ISO 11358,thermal stability;ash content;composition analyzer,{},Used to detect filler content or thermal degradation in polymers. 
,Automated Passivation Line,Production: Finishing,Nitric/Citric Acid Line,"{""acid_conc"":{""type"":""number"",""units"":""%""},""bath_temp"":{""type"":""number"",""units"":""C""},""dwell_time"":{""type"":""number"",""units"":""min""}}",TRUE,TRUE,TRUE,6,6,12,High,ASTM A967;ISO 13485,acid bath;stainless finisher;passivator,{},"PQ must include corrosion resistance verification (e.g., salt spray)."
,Electropolishing System,Production: Finishing,Anodic Chemical Bath,"{""current_density"":{""type"":""number"",""units"":""A/ft2""},""voltage"":{""type"":""number"",""units"":""V""},""electrolyte_type"":{""type"":""string""}}",TRUE,TRUE,TRUE,6,6,12,High,ISO 13485;21 CFR 820.75,EP system;anodic polisher;stent finisher,{},Critical for smoothing surfaces of interventional metal devices.
,Cold Chain Monitor (IoT),Distribution,Real-time Datalogger,"{""temp_accuracy"":{""type"":""number"",""units"":""C""},""ping_freq"":{""type"":""number"",""units"":""min""},""battery_life"":{""type"":""integer"",""units"":""months""}}",TRUE,TRUE,FALSE,12,,,Medium,21 CFR Part 11;ISO 13485,GPS logger;temp tracker;cellular monitor,{},Used for validating HCT/P shipping lanes. Software must be CSV. 
,Automated Bead Blaster,Production: Finishing,CNC Cabinet Blaster,"{""nozzle_press"":{""type"":""number"",""units"":""PSI""},""media_grit"":{""type"":""integer""},""cycle_time"":{""type"":""number"",""units"":""sec""}}",TRUE,TRUE,TRUE,12,6,,Medium,ISO 13485;21 CFR 820.70,sand blaster;shot peener;surface prep,{},OQ verifies surface roughness (Ra) uniformity on implants. 
,Capillary Rheometer,Analytical Lab,Polymer Flow Tester,"{""max_force"":{""type"":""number"",""units"":""kN""},""shear_rate"":{""type"":""range"",""units"":""s-1""},""die_geometry"":{""type"":""string""}}",TRUE,TRUE,FALSE,12,12,,Medium,ISO 11443;ASTM D3835,flow tester;viscometer;extrusion rheometer,{},Used to validate resin batch processability for extruders.
,Air Shower,Facilities,Cleanroom Entry Unit,"{""air_velocity"":{""type"":""number"",""units"":""m/s""},""cycle_time"":{""type"":""number"",""units"":""sec""},""interlock_type"":{""type"":""string""}}",TRUE,TRUE,FALSE,12,12,12,Medium,ISO 14644-1;FDA QMSR,entry blower;de-dusting;cleanroom shower,{},OQ verifies particulate removal efficiency and interlock logic. 
,Solvent Vapor Degreaser,Cleaning,Multi-Stage Ultrasonic,"{""vapor_temp"":{""type"":""number"",""units"":""C""},""solvent_level"":{""type"":""number"",""units"":""mm""},""boil_sump_temp"":{""type"":""number"",""units"":""C""}}",TRUE,TRUE,TRUE,12,6,12,Medium,21 CFR 820.70;ISO 13485,vapor cleaner;parts degreaser;Branson cleaner,{},PQ verifies residual solvent levels (NVR) after cleaning. 
,Glove Integrity Tester,Environment & Safety,Isolator Pressure Decay,"{""test_pressure"":{""type"":""number"",""units"":""Pa""},""leak_rate"":{""type"":""number"",""units"":""Pa/min""},""cycle_time"":{""type"":""number"",""units"":""sec""}}",TRUE,TRUE,FALSE,12,12,,High,ISO 14644-7;FDA QMSR,glove tester;barrier tester;isolator tool,{},Critical for aseptic HCT/P processing. Requires daily or batch check. 
,Adhesion Pull Tester,Metrology,Coating Bond Strength,"{""max_load"":{""type"":""number"",""units"":""N""},""pull_rate"":{""type"":""number"",""units"":""mm/s""},""fixture_type"":{""type"":""string""}}",TRUE,TRUE,FALSE,12,12,,Medium,ASTM F1147;ISO 13779,pull-off tester;coating tester;bond strength,{},Used to validate HA or plasma-sprayed implant coatings.
,Micro-TIG Welder,Production: Assembly,Precision Arc Welder,"{""current_range"":{""type"":""range"",""units"":""A""},""pulse_duration"":{""type"":""number"",""units"":""ms""},""shield_gas"":{""type"":""string""}}",TRUE,TRUE,TRUE,12,12,12,High,ISO 13485;21 CFR 820.75,pulse arc;micro welder;surgical tool welder,{},Used for surgical instruments. PQ verifies weld penetration/integrity.
